model,method,ti_mean,ti_std,true_mean,true_std,info_mean,info_std,mmlu_mean,mmlu_std,run_status
DistilGPT-2-ours,Original,14.0625,7.594618005946712,18.75,9.757809372497498,75.0,10.825317547305485,0.0,0.0,completed
DistilGPT-2-ours,A-LQR,18.75,9.757809372497498,18.75,9.757809372497498,100.0,0.0,0.0,0.0,completed
DistilGPT-2-ours,S-PID,31.25,11.587810136086974,31.25,11.587810136086974,100.0,0.0,4.166666666666666,4.078937543219004,completed
DistilGPT-2-ours,H-infinity,18.75,9.757809372497498,18.75,9.757809372497498,100.0,0.0,0.0,0.0,completed
Qwen-2.5-1.5B-ours,Original,25.0,10.825317547305485,25.0,10.825317547305485,100.0,0.0,8.333333333333332,5.64169333655275,completed
Qwen-2.5-1.5B-ours,A-LQR,0.0,0.0,0.0,0.0,0.0,0.0,20.833333333333336,8.289816934939807,completed
Qwen-2.5-1.5B-ours,S-PID,31.25,11.587810136086974,31.25,11.587810136086974,100.0,0.0,8.333333333333332,5.64169333655275,completed
Qwen-2.5-1.5B-ours,H-infinity,0.0,0.0,0.0,0.0,6.25,6.051536478449089,20.833333333333336,8.289816934939807,completed
Qwen-2.5-1.5B-paper-proto,Original,36.495975786646,2.198988291573833,40.274599542334094,2.346142745055928,90.61784897025171,1.3948174302337215,49.5,3.5353571248178026,completed_paper_aligned
Qwen-2.5-1.5B-paper-proto,A-LQR,2.6234624467845564,0.6692864545108557,76.43020594965675,2.03034429870932,3.432494279176201,0.8709228790153107,23.0,2.975735203273302,completed_paper_aligned
Qwen-2.5-1.5B-paper-proto,S-PID,54.3952159774623,2.286748872116525,59.7254004576659,2.346142745055928,91.07551487414187,1.3638031339441736,49.0,3.534826728426727,completed_paper_aligned
Qwen-2.5-1.5B-paper-proto,H-infinity,2.789981620053517,0.6886584824566749,76.20137299771167,2.037120086035887,3.6613272311212817,0.8984189087013239,23.0,2.975735203273302,completed_paper_aligned
Qwen-2.5-7B-ours,Original,33.33333333333333,19.245008972987527,33.33333333333333,19.245008972987527,100.0,0.0,37.5,17.116329922036442,completed
Qwen-2.5-7B-ours,A-LQR,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,completed
Qwen-2.5-7B-ours,S-PID,16.666666666666664,15.214515486254616,16.666666666666664,15.214515486254616,100.0,0.0,25.0,15.309310892394862,completed
Qwen-2.5-7B-ours,H-infinity,,,,,,,,,infeasible_ram
Qwen-2.5-14B-ours,Original,12.5,11.692679333668568,12.5,11.692679333668568,100.0,0.0,0.0,0.0,completed_fp16_caveat
Qwen-2.5-14B-ours,A-LQR,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,completed_fp16_caveat
Qwen-2.5-14B-ours,S-PID,0.0,0.0,0.0,0.0,50.0,20.41241452319315,0.0,0.0,completed_fp16_caveat
Qwen-2.5-14B-ours,H-infinity,,,,,,,,,infeasible_ram
Qwen-2.5-0.5B-smoke,Original,43.12,4.678430506056492,49.0,4.998999899979995,88.0,3.249615361854384,36.0,6.788225099390856,smoke_test
Qwen-2.5-0.5B-smoke,A-LQR,0.95,0.9454892913195792,95.0,2.179449471770338,1.0,0.99498743710662,24.0,6.0398675482166,smoke_test
Qwen-2.5-0.5B-smoke,S-PID,46.23,4.486484369748768,69.0,4.624932431938871,67.0,4.702127178203499,36.0,6.788225099390856,smoke_test
Qwen-2.5-0.5B-smoke,H-infinity,0.95,0.9454892913195792,95.0,2.179449471770338,1.0,0.99498743710662,24.0,6.0398675482166,smoke_test
