k_ctx,horizon_tok,med,q25,q75
1,1,0.20733965212881916,0.15488168648034398,0.3049934160600565
1,2,0.20770699549857313,0.1598407125583287,0.33614868141441123
1,4,0.2400862086085898,0.16480719409355418,0.5863678321304954
1,8,0.6197079584130206,0.2513123164260915,0.9048943348455191
2,1,0.1051437467084084,0.07679464342247648,0.16503641153415483
2,2,0.10803819480247903,0.07617295852898612,0.20431175129230889
2,4,0.20989295465314461,0.1341307007881059,0.6016714794264065
2,8,0.5710103353589693,0.12664533816221415,0.9130594642463715
4,1,0.06191358629950825,0.04158370983102539,0.14964957826156333
4,2,0.12015164171715857,0.08838553390222874,0.22578655328031053
4,4,0.12769445210195915,0.08448639347103265,0.6855700904335593
4,8,0.4223282540569627,0.08907039513041848,0.935655208798627
8,1,0.08093051471362375,0.05664149341644396,0.15199959318816464
8,2,0.08014615491332952,0.05573054490540986,0.17994785784874195
8,4,0.08044046982433206,0.051369719070390125,0.2756397382924293
8,8,0.5836080812867612,0.05671014555610525,1.0276882598307395
