,med_resid,mean,std
1,0.19937177574218484,,
2,0.21874570673538657,,
3,0.18385615941620914,,
4,0.24740659883343372,,
5,0.2174906992535658,,
6,0.2400862086918298,,
7,0.2608221237271039,,
8,0.26617970722419104,,
9,0.27549822110728694,,
10,0.269496990004589,,
11,0.2862122311871142,,
12,0.28689242324567477,,
8,,0.8680565407043932,0.03308347331759235
16,,0.8274320889570385,0.03662441710651667
32,,0.7238487363203782,0.02035365751394219
64,,0.47076396758895606,0.025313222633458872
128,,0.24012641539052706,0.009571451691198773
256,,0.1357165731404935,0.003848935641439678
512,,0.16127669447703036,0.0024347846651668523
768,,0.14162046133808862,
