axis,horizon_ms,split,med_lin,med_res,reduction
stim-context,20,ID,0.1556038213673258,0.15958070878286468,-0.003976887415538866
stim-context,20,OOD,0.08344382752686857,0.0894681944972582,-0.006024366970389619
stim-context,40,ID,0.3025334990566335,0.30786790545183146,-0.005334406395197944
stim-context,40,OOD,0.16494768535181828,0.1704353283360338,-0.005487642984215529
stim-context,100,ID,0.6651763346593624,0.6774418337543827,-0.012265499095020282
stim-context,100,OOD,0.40072529470453877,0.3903881529875102,0.010337141717028597
stim-context,200,ID,0.9853980606003025,1.001436107320473,-0.016038046720170396
stim-context,200,OOD,0.6956121034279119,0.6370020165498378,0.05861008687807412
conflict,20,ID,0.14693223965468855,0.14716970956871675,-0.0002374699140282044
conflict,20,OOD,0.14448309243982269,0.15209998231910293,-0.0076168898792802475
conflict,40,ID,0.2897833295138351,0.29036470279578536,-0.0005813732819502371
conflict,40,OOD,0.2844872411673408,0.28806971500432954,-0.003582473836988731
conflict,100,ID,0.6232722669084013,0.6468337261574008,-0.02356145924899944
conflict,100,OOD,0.6435317849997908,0.6492209920657005,-0.005689207065909696
conflict,200,ID,0.9578642271909557,0.990684252354423,-0.03282002516346738
conflict,200,OOD,0.9754740341284511,0.9884326381778739,-0.012958604049422728
