k_ctx,horizon_ms,R2
1,20,0.9791406566838841
1,40,0.9195732899175444
1,100,0.5984022538139027
1,200,0.15151048148237778
1,300,0.016489942403766333
1,400,-0.015164561344497951
1,500,-0.03206945739320388
1,700,-0.08843276512704579
2,20,0.9990540310427455
2,40,0.9921240685163365
2,100,0.8620754826570572
2,200,0.32390409041082946
2,300,0.04676452567726397
2,400,-0.00859812592753606
2,500,-0.03475016522845076
2,700,-0.11301805087842887
4,20,0.999885919418798
4,40,0.9989744808121462
4,100,0.9647706301731228
4,200,0.6253848402842657
4,300,0.12822190272409906
4,400,-0.07342673597683635
4,500,-0.0695782413780841
4,700,-0.16319788993009854
8,20,0.9999675320710752
8,40,0.9997694140243993
8,100,0.9871989569825047
8,200,0.7176735893597597
8,300,0.12727799873890155
8,400,-0.12218232776336269
8,500,-0.1203124009502976
8,700,-0.24271299163116145
