k_ctx,horizon_ms,med,q25,q75
1,20,0.1556038213673258,0.0946441981705948,0.24295089830813155
1,40,0.3025334990566335,0.18700218727995238,0.47982637972165487
1,100,0.6651763346593624,0.4315861636462407,1.0398384763553215
1,200,0.9853980606003025,0.6831815441356875,1.470051704158223
1,300,1.0836441290583294,0.8099666915435304,1.5733128331582777
1,400,1.1142594793242915,0.8764389708502947,1.5840060897896993
1,500,1.1099873797157103,0.9226065252035389,1.5667510043255262
1,700,1.1344035168822675,0.9574629739195999,1.6350001204365916
2,20,0.034299903542872004,0.02181828726147878,0.05559869043243136
2,40,0.09871249543440022,0.0629996840504134,0.15995489369773633
2,100,0.40397422714832776,0.262397356779088,0.6362390570535283
2,200,0.8804151850648038,0.607884505798802,1.3907318801894666
2,300,1.0619551569319445,0.7886028861461009,1.5863057998486376
2,400,1.099138987925521,0.8815497961833266,1.5794846982158086
2,500,1.1162621676440294,0.9226662561899737,1.5999788969427973
2,700,1.1411059709832738,0.9575346896888828,1.6963947183245576
4,20,0.011556221343965951,0.0068892152607868155,0.0192397784348656
4,40,0.036462263780279856,0.021564173611711934,0.05913365697773425
4,100,0.21784769083993116,0.1327398096953317,0.3446555924494775
4,200,0.7255490072260021,0.4707496744000645,1.1195771329187025
4,300,1.035446480728116,0.7417861662022043,1.6037935506470453
4,400,1.160299889482261,0.8599648094772248,1.784835814361573
4,500,1.1545123784517508,0.93432554491001,1.7027630041741582
4,700,1.1485790433223946,0.94187932081362,1.7658621032858497
8,20,0.006577383100827276,0.003946384632941962,0.011114307756624116
8,40,0.019407816834198198,0.011742299885217147,0.030574723156813196
8,100,0.1448487544113352,0.09083968394465973,0.22701757990002547
8,200,0.6423579507653772,0.4167765186757159,1.0067408495957082
8,300,1.0514871028662434,0.7260910217520427,1.6658587393589643
8,400,1.1985006828520985,0.8710908693649108,1.9142163294787073
8,500,1.191868415162609,0.9256417028030317,1.7812578375787262
8,700,1.1845216974041461,0.9266446049808549,1.8277306803160087
