model,horizon_ms,OOD,ID,delta_R2
Ax+b,20,0.9816930515419356,0.9791406566838841,0.0025523948580515876
Ax+b,40,0.9291713401805415,0.9195732899175444,0.009598050262997093
Ax+b,100,0.6265745368450877,0.5984022538139027,0.02817228303118502
Ax+b,200,0.08379994519171985,0.15151048148237778,-0.06771053629065793
Ax+b+g(x),20,0.9794065266322656,0.9785158948001278,0.0008906318321377782
Ax+b+g(x),40,0.9246090041954106,0.9179442037200569,0.006664800475353672
Ax+b+g(x),100,0.6309622903940451,0.5952457664228837,0.03571652397116132
Ax+b+g(x),200,0.11859570234974226,0.15755414648727106,-0.0389584441375288
persistence,20,0.9829798936843872,0.9788480997085571,0.004131793975830078
persistence,40,0.9331342577934265,0.9168460965156555,0.016288161277770996
persistence,100,0.6342642307281494,0.5370604991912842,0.09720373153686523
persistence,200,0.07329607009887695,-0.27290868759155273,0.3462047576904297
