k_ctx,horizon_tok,med,q25,q75
1,1,0.20733955053774772,0.15488171069355094,0.30499326509007524
1,2,0.20770701564310645,0.1598407781041234,0.33614839466000634
1,4,0.24008673352006327,0.16480722786693142,0.5863678616088593
1,8,0.6197079840816079,0.25131233630030764,0.9048945129678412
2,1,0.10514380193022638,0.0767947234581438,0.16503649301476953
2,2,0.10803820581204346,0.0761729388153139,0.20431188955606502
2,4,0.20989291557574347,0.13413054182109926,0.6016715604521338
2,8,0.5710103931452293,0.1266452744947943,0.913059691663097
4,1,0.0619135413401986,0.041583639540606634,0.14964945319174824
4,2,0.1201515828219194,0.08838557422154972,0.22578666116047827
4,4,0.12769443577542136,0.08448652511099236,0.6855701729636487
4,8,0.4223281768929654,0.08907041191967639,0.9356551411740104
8,1,0.08093051796292872,0.05664150555733003,0.15199963211610856
8,2,0.08014611683312857,0.05573059815808089,0.1799478572290419
8,4,0.08044048240984755,0.05136966851795519,0.2756399999239185
8,8,0.5836082449658867,0.056710045149710446,1.027688425893576
