layer,med_resid,mean,std
1,0.1993717055655369,,
2,0.21874580104651942,,
3,0.18385616530486237,,
4,0.24740658004528923,,
5,0.21749077660939597,,
6,0.24008673352006327,,
7,0.2608222432830628,,
8,0.2661797101891845,,
9,0.275497770886916,,
10,0.2694969440476406,,
11,0.2862123148637308,,
12,0.28689346836429597,,
8,,0.8680565372996663,0.03308345278355592
16,,0.8274320438232495,0.03662463346344755
32,,0.7238487787274273,0.020353686223834645
64,,0.4707639521457193,0.025313217512317982
128,,0.24012643910628864,0.009571600639114995
256,,0.13571659471162584,0.0038489728597695286
512,,0.1612767057333845,0.002434819709779435
768,,0.14162041784615528,
