,area,n_ch,med_resid,mean,std
LAF,dorsolateral prefrontal,9.0,0.6486772088065358,,
LAI,sensorimotor,11.0,0.7989934659853646,,
LAO,parieto-occipital,8.0,0.6309233075589038,,
LPF,sensorimotor,13.0,0.6634256351768402,,
LPO,parieto-occipital,8.0,0.9425374967943807,,
LPT,posterior temporal,5.0,0.6731123916526236,,
LVF,premotor / dorsomedial frontal,15.0,0.985398103095908,,
RAF,ventrolateral prefrontal,11.0,0.677946280531911,,
RAT,temporal / peri-insular,8.0,0.9146342056092818,,
RMF,premotor / dorsomedial frontal,5.0,0.5125247272024616,,
RMT,temporal / peri-insular,8.0,0.8109821392807612,,
RVF,premotor / dorsomedial frontal,7.0,0.5887319112745512,,
2,,,,0.7371313318645953,0.16077547883535195
4,,,,0.812190103743838,0.08439161908715247
6,,,,0.8739564676276725,0.050554066618967275
8,,,,0.9503594785408159,0.040947003633230984
10,,,,0.9069715911581554,0.0335292118419371
12,,,,0.9631412509649163,0.031801452160422725
15,,,,0.9853980606003024,
