label,subset,overall,early,mid,late
DistilGPT-2,jigsaw_long,0.6876787543296814,0.6930122375488281,0.5178775191307068,0.8521465063095093
GPT-2 Small,jigsaw_long,0.4533107876777649,0.4630766808986664,0.3539888262748718,0.5428667068481445
GPT-2 Medium,jigsaw_full,0.3590381741523742,0.2587334513664245,0.1703726798295974,0.6480082869529724
GPT-2 Large,jigsaw_full,0.6899564266204834,0.2884969413280487,0.1837880313396453,1.597584247589111
Qwen 0.5B,mmlu_ood_other_concepts,0.5378103256225586,0.6524415612220764,0.5055153369903564,0.455474317073822
Qwen 1.5B,mmlu_ood_other_concepts,0.5000616312026978,0.5823605060577393,0.3913402259349823,0.5238419771194458
Qwen 3B,mmlu_ood_other_concepts,0.4811948537826538,0.4767423272132873,0.4082227349281311,0.558619499206543
Qwen 7B,jigsaw_long,0.5008379220962524,0.563825249671936,0.4061087369918823,0.5294056534767151
Qwen 14B,jigsaw_long,0.4485826194286346,0.4059776365756988,0.3530076146125793,0.5867626667022705
Qwen 72B,jigsaw_long,0.3476631641387939,0.3353964686393738,0.2520698308944702,0.455068975687027
