label,rank_within_model_ood,subset,overall,early,mid,late
DistilGPT-2,1,jigsaw_long,0.6876787543296814,0.6930122375488281,0.5178775191307068,0.8521465063095093
DistilGPT-2,2,toxicchat_long,0.6578632593154907,0.6719022393226624,0.4076340496540069,0.8940532803535461
DistilGPT-2,3,jigsaw_full,0.6308583617210388,0.6690376996994019,0.401759535074234,0.8217778205871582
GPT-2 Small,1,jigsaw_long,0.4533107876777649,0.4630766808986664,0.3539888262748718,0.5428667068481445
GPT-2 Small,2,toxicchat_long,0.4327082335948944,0.4309030473232269,0.2784600257873535,0.588761568069458
GPT-2 Small,3,mmlu_ood_other_concepts,0.4195496439933777,0.4335013329982757,0.2893719673156738,0.5357756614685059
GPT-2 Medium,1,jigsaw_full,0.3590381741523742,0.2587334513664245,0.1703726798295974,0.6480082869529724
GPT-2 Medium,2,jigsaw_toxic,0.3467572033405304,0.2565225064754486,0.166322112083435,0.6174269318580627
GPT-2 Medium,3,civil_long,0.3402561545372009,0.2567889094352722,0.1802100390195846,0.5837694406509399
GPT-2 Large,1,jigsaw_full,0.6899564266204834,0.2884969413280487,0.1837880313396453,1.597584247589111
GPT-2 Large,2,civil_full,0.6716374158859253,0.2627733051776886,0.1901564598083496,1.561982274055481
GPT-2 Large,3,civil_toxic,0.6659189462661743,0.2625571191310882,0.1835041791200637,1.551695704460144
Qwen 0.5B,1,mmlu_ood_other_concepts,0.5378103256225586,0.6524415612220764,0.5055153369903564,0.455474317073822
Qwen 0.5B,2,jigsaw_long,0.493637204170227,0.6006792187690735,0.4305295050144195,0.4497027993202209
Qwen 0.5B,3,toxicchat_long,0.4487078785896301,0.5470677614212036,0.3737322986125946,0.425323486328125
Qwen 1.5B,1,mmlu_ood_other_concepts,0.5000616312026978,0.5823605060577393,0.3913402259349823,0.5238419771194458
Qwen 1.5B,2,jigsaw_long,0.4787976741790771,0.557258665561676,0.369444191455841,0.5066008567810059
Qwen 1.5B,3,jigsaw_full,0.4280411005020141,0.5268739461898804,0.3250803053379059,0.4317561984062195
Qwen 3B,1,mmlu_ood_other_concepts,0.4811948537826538,0.4767423272132873,0.4082227349281311,0.558619499206543
Qwen 3B,2,jigsaw_long,0.479573518037796,0.4497394263744354,0.3687086403369903,0.6202723979949951
Qwen 3B,3,jigsaw_full,0.412689596414566,0.4359572529792785,0.3352121710777282,0.4668993651866913
Qwen 7B,1,jigsaw_long,0.5008379220962524,0.563825249671936,0.4061087369918823,0.5294056534767151
Qwen 7B,2,mmlu_ood_other_concepts,0.496379405260086,0.5443462133407593,0.4374554455280304,0.5062408447265625
Qwen 7B,3,jigsaw_full,0.4649155437946319,0.5274244546890259,0.3791702687740326,0.4858282506465912
Qwen 14B,1,jigsaw_long,0.4485826194286346,0.4059776365756988,0.3530076146125793,0.5867626667022705
Qwen 14B,2,mmlu_ood_other_concepts,0.412179559469223,0.3944855034351349,0.3576835989952087,0.4843696653842926
Qwen 14B,3,jigsaw_full,0.4021513760089874,0.3794265985488891,0.3083193302154541,0.5187082886695862
Qwen 72B,1,jigsaw_long,0.3476631641387939,0.3353964686393738,0.2520698308944702,0.455068975687027
Qwen 72B,2,mmlu_ood_other_concepts,0.3391424417495727,0.3369414806365967,0.3056190609931946,0.3747852742671966
Qwen 72B,3,jigsaw_toxic,0.332103282213211,0.351570576429367,0.257806658744812,0.3876536190509796
